date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:06	30059/30059	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2015:29:35%20GMT	https://www.mixo.io/site/yates-en-panam-0ocni	D:/Valentin/YatesEnPanama/www.mixo.io/site/yates-en-panam-0ocni.html	(from )
16:06:06	92/92	---MCZ	200	added ('OK')	text/plain	etag:W/%22263cb5febafcce0b7dc9743fad4742cf%22	https://www.mixo.io/robots.txt		(from )
16:06:07	182/182	---MCZ	200	added ('OK')	application/xml	etag:W/%22abbc6c27f3cd2a2df5f6c0f81f717a49%22	https://www.mixo.io/site/yates-en-panam-0ocni/sitemap.xml	D:/Valentin/YatesEnPanama/www.mixo.io/site/yates-en-panam-0ocni/sitemap.xml	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:07	45855/45855	---M--	200	added ('OK')	image/png	etag:%22d5eead78867e0bffa2408cec058de65e%22	https://storage.googleapis.com/mixo-sites/images/file-13341107-0175-4b2b-8e43-c96ebf680860.png	D:/Valentin/YatesEnPanama/storage.googleapis.com/mixo-sites/images/file-13341107-0175-4b2b-8e43-c96ebf680860.png	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:09	115145/115145	---MCZ	200	added ('OK')	text/css	etag:W/%223de5334cb0d24349bfd2bc7561f0a9d7%22	https://www.mixo.io/site/yates-en-panam-0ocni/assets/style-90f1b45c.css	D:/Valentin/YatesEnPanama/www.mixo.io/site/yates-en-panam-0ocni/assets/style-90f1b45c.css	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:09	402/402	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fae8ed9e6053a8d30b710c0f32ce9284%22	https://www.mixo.io/site/yates-en-panam-0ocni/assets/iles.cc02da52.js	D:/Valentin/YatesEnPanama/www.mixo.io/site/yates-en-panam-0ocni/assets/iles.cc02da52.js	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:09	78917/78917	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c5bb2a1a7ef57ab60c337e27a503fab3%22	https://www.mixo.io/site/yates-en-panam-0ocni/assets/vendor-vue.146a6d52.js	D:/Valentin/YatesEnPanama/www.mixo.io/site/yates-en-panam-0ocni/assets/vendor-vue.146a6d52.js	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:09	6745/6745	---MCZ	200	added ('OK')	application/javascript	etag:W/%228ad3f61b89ebafdeabd0a70533764d9f%22	https://www.mixo.io/site/yates-en-panam-0ocni/assets/MixoHeader.094bf81f.js	D:/Valentin/YatesEnPanama/www.mixo.io/site/yates-en-panam-0ocni/assets/MixoHeader.094bf81f.js	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:10	2931861/2931861	---M--	200	added ('OK')	image/png	etag:%227237fb5082aae1c591b2132c6e75f8d2%22	https://storage.googleapis.com/mixo-sites/images/file-b4f92adb-0d6f-4215-bb46-7539a7cfac6c.png	D:/Valentin/YatesEnPanama/storage.googleapis.com/mixo-sites/images/file-b4f92adb-0d6f-4215-bb46-7539a7cfac6c.png	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:10	2679/2679	---MCZ	200	added ('OK')	application/javascript	etag:W/%2276907bd1a1d17e66ced0d2bfeaac02b2%22	https://www.mixo.io/site/yates-en-panam-0ocni/assets/UiButton.9ed06865.js	D:/Valentin/YatesEnPanama/www.mixo.io/site/yates-en-panam-0ocni/assets/UiButton.9ed06865.js	(from https://www.mixo.io/site/yates-en-panam-0ocni)
